Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
08/25  03:00:00,0.5350345827,0.2999438422,0,0,0,0,0,0.08338538755,0.01822920246,0.09244790524,0.3202720875
08/25  04:00:00,0.5485661703,0.9197391612,0,0.5588329029,0.01496301499,0.01496301499,0.01496301499,0.08338538755,0.01822920246,0.1031147988,0.3081737665
08/25  05:00:00,0.6102923385,1.423438633,0,0.7899262749,0.0211506492,0.0211506492,0.0211506492,0.08829041036,0.01930150863,0.1169526151,0.3438971552
08/25  06:00:00,0.7919524528,2.042577182,0,0.9027254579,0.02417090061,0.02417090061,0.02417090061,0.1422456507,0.03109687646,0.1763996804,0.3973393447
08/25  07:00:00,1.075233954,2.284622248,0,1.005540841,0.02692383107,0.02692383107,0.02692383107,0.2501561743,0.05468761688,0.2630635087,0.4222028232
08/25  08:00:00,0.9865008483,2.565014839,0,1.329059608,0.03558619889,0.03558619889,0.03558619889,0.1962009125,0.04289224667,0.3341733904,0.3569480999
08/25  09:00:00,0.8777725644,2.170067658,0,1.052423471,0.02817913563,0.02817913563,0.02817913563,0.09810045598,0.02144612096,0.4055551543,0.3037916975
08/25  10:00:00,0.8768796642,1.9555183,0,0.9770153284,0.02616004699,0.02616004699,0.02616004699,0.07848036474,0.01715689629,0.4234459809,0.3109363752
08/25  11:00:00,0.8735311593,1.0687199,0,0.2251952827,0.006029710084,0.006029710084,0.006029710084,0.07848036474,0.01715689629,0.4401325506,0.3110316376
08/25  12:00:00,0.8557954792,0.9213992501,0,0.1826209646,0.004889762602,0.004889762602,0.004889762602,0.07848036474,0.01715689629,0.4287762483,0.3057922073
08/25  13:00:00,0.8252124658,0.6840543818,0,0,0,0,0,0.07848036474,0.01715689629,0.3925088745,0.3163663303
08/25  14:00:00,0.8138103911,0.6297116755,0,0,0,0,0,0.07848036474,0.01715689629,0.3632927366,0.3341803935
08/25  15:00:00,0.8407239808,0.639757039,0,0,0,0,0,0.07848036474,0.01715689629,0.3716301641,0.3527565556
08/25  16:00:00,0.9611938752,0.7157144166,0,0,0,0,0,0.08338538755,0.01822920246,0.4216301052,0.41724918
08/25  17:00:00,1.172444064,0.866736474,0,0,0,0,0,0.1079105016,0.02359073329,0.5133517587,0.50689107
08/25  18:00:00,1.29283788,1.008408625,0,0,0,0,0,0.1814858114,0.03967532104,0.470646037,0.5503307107
08/25  19:00:00,1.40988022,1.038868055,0,0,0,0,0,0.3531616617,0.077206025,0.390763022,0.5680495115
08/25  20:00:00,1.694889442,0.9706153028,0,0,0,0,0,0.6033177298,0.1318936419,0.3513997732,0.5875782973
